feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
compare2016__opensmile_compare2016_pcm_RMSenergy_sma_de_meanRisingSlope,0.04984375630214371,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,96,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_4_peakDistStddev,0.049608495224519794,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,97,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_07_skew,0.04927993947996203,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,98,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_06_min,0.049212781463709374,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,99,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_03_max,0.049135738356962465,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,100,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_11_lpc3,0.04891459225998888,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,101,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralFlux_sma_meanFallingSlope,0.04888297684057156,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,102,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_8_lpc3,0.048522329869336245,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,103,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_fband250_650_sma_linregerrQ,0.04834783071933163,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,104,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_01_median,0.04831156861413666,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,105,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_de_1_minPos,0.047707037324611595,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,106,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_0_peakRangeRel,0.04755076677551704,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,107,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_4_lpc2,0.04737609138244595,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,108,1,compare_is10_top800_lightgbm,800.0,True
is10__opensmile_is10_mfcc_sma_14_percentile99_0,0.04722635954915611,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,109,1,compare_is10_top800_lightgbm,800.0,True
strong__mfcc_14_max,0.047115912027662965,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,110,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_de_12_meanFallingSlope,0.046349159383758734,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,111,1,compare_is10_top800_lightgbm,800.0,True
